;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
157;OR-Tools;0.429997;13.965751899999999;48.857;1.995;11.0;1.864;0.551;2.0;45.0;1.245;8.0;50.0;2.877;13.0;78;70
158;RL;0.128964;11.491349577903748;46.625;1.436;8.75;3.503;0.246;1.669;39.0;1.152;5.0;50.0;1.847;10.0;79;70
159;OR-Tools;0.490997;11.6240277;46.625;1.453;9.75;6.653;0.443;1.982;31.0;0.859;6.0;50.0;2.065;12.0;79;70
160;RL;0.121962;11.821937650442123;41.5;1.478;8.75;11.097;0.705;3.412;17.0;0.401;3.0;49.0;2.198;13.0;80;70
161;OR-Tools;0.319299;11.682934000000001;47.429;1.669;11.0;3.69;0.594;2.309;40.0;0.558;8.0;50.0;2.291;14.0;80;70
162;RL;0.102996;13.168130040168762;49.286;1.881;10.0;0.756;0.386;1.0;48.0;1.225;9.0;50.0;2.322;11.0;81;70
163;OR-Tools;0.365146;14.499751600000002;49.286;2.071;11.0;1.89;0.56;1.826;45.0;1.297;8.0;50.0;2.847;13.0;81;70
164;RL;0.13;13.092875003814697;43.125;1.637;8.75;8.887;0.395;1.669;22.0;1.0;6.0;49.0;2.219;11.0;82;70
165;OR-Tools;0.246002;12.9037802;49.286;1.843;11.0;1.113;0.698;2.16;47.0;0.82;8.0;50.0;2.984;14.0;82;70
166;RL;0.108061;11.839677333831787;43.714;1.691;10.0;7.718;0.534;3.109;30.0;1.035;7.0;50.0;2.578;16.0;83;70
167;OR-Tools;0.434003;11.2834487;43.714;1.612;11.0;6.969;0.575;2.944;31.0;1.002;8.0;50.0;2.583;17.0;83;70
168;RL;0.102478;14.199359655380249;47.714;2.028;10.0;2.215;0.613;2.944;44.0;1.25;6.0;50.0;3.057;13.0;84;70
169;OR-Tools;0.326729;14.325949900000001;47.714;2.047;11.0;3.2;0.727;3.416;41.0;0.959;7.0;50.0;3.038;16.0;84;70
170;RL;0.106964;10.95260351896286;46.125;1.369;8.75;6.578;0.396;2.252;30.0;0.703;4.0;50.0;1.898;11.0;85;70
171;OR-Tools;0.303038;10.5520721;46.125;1.319;9.75;7.511;0.545;2.252;28.0;0.258;5.0;50.0;1.943;12.0;85;70
172;RL;0.092972;14.838504672050476;44.0;1.855;8.75;9.411;0.66;2.435;27.0;0.656;5.0;50.0;2.718;11.0;86;70
173;OR-Tools;0.373034;14.1824993;44.0;1.773;9.75;9.636;0.659;2.659;27.0;0.656;6.0;50.0;2.685;14.0;86;70
174;RL;0.088962;13.203646719455719;41.25;1.65;8.75;10.181;0.546;2.435;24.0;0.741;5.0;49.0;2.421;12.0;87;70
175;OR-Tools;0.408046;12.259857199999999;47.143;1.751;11.0;2.116;0.478;2.769;44.0;1.072;7.0;50.0;2.488;15.0;87;70
176;RL;0.134966;15.628402978181839;42.0;1.954;8.75;15.269;1.011;4.2;7.0;0.126;2.0;50.0;3.295;15.0;88;70
177;OR-Tools;0.307182;16.282304099999998;48.0;2.326;11.0;3.606;0.762;1.633;40.0;1.196;9.0;50.0;3.561;14.0;88;70
178;RL;0.112957;13.211927622556686;40.125;1.651;8.75;15.788;0.778;3.955;10.0;0.34;2.0;50.0;2.38;14.0;89;70
179;OR-Tools;0.25108;13.232450700000001;45.857;1.89;11.0;5.61;0.648;2.16;36.0;0.943;7.0;50.0;2.568;14.0;89;70
180;RL;0.092961;13.333768665790558;48.375;1.667;8.75;1.685;0.547;1.389;46.0;0.979;7.0;50.0;2.422;11.0;90;70
181;OR-Tools;0.281124;13.9517089;48.375;1.744;9.75;2.066;0.817;1.669;45.0;0.45;8.0;50.0;2.671;12.0;90;70
182;RL;0.111963;11.331202059984207;40.875;1.416;8.75;13.892;0.704;3.694;8.0;0.221;1.0;50.0;2.169;12.0;91;70
183;OR-Tools;0.289048;11.227256;46.714;1.604;11.0;4.152;0.719;2.449;41.0;0.743;7.0;50.0;2.838;14.0;91;70
184;RL;0.106993;10.588084697723389;45.286;1.513;10.0;2.812;0.219;2.082;42.0;1.257;8.0;49.0;1.761;13.0;92;70
185;OR-Tools;0.279002;10.4045115;45.286;1.486;11.0;5.678;0.365;2.887;35.0;0.801;7.0;50.0;1.888;15.0;92;70
186;RL;0.106964;14.190503120422363;45.5;1.774;8.75;9.928;0.49;2.55;21.0;1.079;4.0;50.0;2.328;13.0;93;70
187;OR-Tools;0.371555;14.241389700000001;45.5;1.78;9.75;11.136;0.502;1.982;18.0;1.152;7.0;50.0;2.376;13.0;93;70
188;RL;0.101959;12.658439576625824;42.375;1.582;8.75;13.606;0.626;2.915;11.0;0.77;3.0;50.0;2.498;12.0;94;70
