;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
159;OR-Tools;0.710063;16.629676999999997;47.5;1.663;11.0;6.884;0.665;2.16;28.0;0.607;6.0;50.0;2.93;14.0;79;100
160;RL;0.163019;14.15949696302414;45.636;1.287;9.091;9.179;0.385;2.427;20.0;0.679;3.0;50.0;1.965;13.0;80;100
161;OR-Tools;0.817046;14.527771300000001;45.636;1.321;10.091;7.672;0.38;1.868;26.0;0.735;7.0;50.0;1.993;13.0;80;100
162;RL;0.141963;19.40144571661949;44.25;1.617;8.333;11.81;0.604;2.839;8.0;0.471;1.0;50.0;2.496;12.0;81;100
163;OR-Tools;0.923621;18.689844500000003;48.273;1.699;10.091;2.24;0.499;1.973;43.0;0.821;7.0;50.0;2.326;13.0;81;100
164;RL;0.185998;17.012651845812798;43.182;1.547;9.091;12.813;0.703;3.177;8.0;0.173;2.0;50.0;2.473;14.0;82;100
165;OR-Tools;0.757753;17.5930562;47.5;1.759;11.0;3.536;0.585;2.357;40.0;0.961;7.0;50.0;2.731;14.0;82;100
166;RL;0.16896;14.718953907489777;43.455;1.338;9.091;12.62;0.518;3.33;6.0;0.37;1.0;50.0;1.949;13.0;83;100
167;OR-Tools;0.607079;14.3526959;47.8;1.435;11.0;3.425;0.53;2.16;41.0;0.746;8.0;50.0;2.103;13.0;83;100
168;RL;0.141965;14.061033010482788;43.909;1.278;9.091;12.988;0.487;2.982;5.0;0.076;1.0;50.0;2.02;12.0;84;100
169;OR-Tools;0.611035;14.751812300000001;48.3;1.475;11.0;4.084;0.462;2.211;37.0;0.835;9.0;50.0;2.504;15.0;84;100
170;RL;0.185131;14.97542142868042;48.5;1.498;10.0;1.841;0.453;2.055;44.0;0.938;8.0;50.0;2.069;15.0;85;100
171;OR-Tools;0.813429;16.0903313;48.5;1.609;11.0;3.064;0.559;1.826;40.0;0.651;9.0;50.0;2.648;15.0;85;100
172;RL;0.139001;15.778333008289337;45.273;1.434;9.091;9.971;0.423;2.844;16.0;0.568;2.0;50.0;1.917;13.0;86;100
173;OR-Tools;0.726969;15.418926599999999;45.273;1.402;10.091;7.016;0.492;2.119;28.0;0.772;6.0;50.0;2.346;14.0;86;100
174;RL;0.158953;18.14209544658661;45.636;1.649;9.091;9.584;0.667;2.844;20.0;0.726;3.0;50.0;2.764;13.0;87;100
175;OR-Tools;0.550658;19.1398735;45.636;1.74;10.091;9.298;0.665;2.737;18.0;0.242;3.0;50.0;2.701;13.0;87;100
176;RL;0.173983;16.603525042533875;46.3;1.66;10.0;9.334;0.61;3.127;20.0;0.662;4.0;50.0;2.619;14.0;88;100
177;OR-Tools;0.999019;16.9220119;46.3;1.692;11.0;6.977;0.626;2.667;28.0;0.644;7.0;50.0;2.535;15.0;88;100
178;RL;0.144962;17.275283098220825;48.7;1.728;10.0;1.567;0.468;1.886;46.0;1.196;8.0;50.0;2.467;13.0;89;100
179;OR-Tools;0.530006;17.9207342;48.7;1.792;11.0;2.263;0.529;2.108;43.0;0.992;8.0;50.0;2.708;15.0;89;100
180;RL;0.16996;18.38685131072998;44.909;1.672;9.091;11.768;0.731;3.048;10.0;0.108;2.0;50.0;2.648;13.0;90;100
181;OR-Tools;0.419004;18.5578796;49.4;1.856;11.0;1.265;0.665;1.333;46.0;0.683;9.0;50.0;2.802;14.0;90;100
182;RL;0.144959;17.762458741664886;45.455;1.615;9.091;8.347;0.547;2.663;21.0;0.366;3.0;50.0;2.165;12.0;91;100
183;OR-Tools;0.601357;18.0376498;45.455;1.64;10.091;10.367;0.595;2.773;15.0;0.536;3.0;50.0;2.324;13.0;91;100
184;RL;0.150963;19.172153055667877;47.6;1.917;10.0;4.835;0.592;2.211;34.0;0.739;6.0;50.0;2.792;13.0;92;100
185;OR-Tools;0.615037;19.663134099999997;47.6;1.966;11.0;5.125;0.708;2.539;34.0;0.975;8.0;50.0;3.101;16.0;92;100
186;RL;0.166965;15.868962652981281;43.667;1.322;8.333;13.707;0.559;2.964;2.0;0.074;1.0;50.0;2.066;12.0;93;100
187;OR-Tools;0.67952;15.521648599999999;47.636;1.411;10.091;2.58;0.442;1.758;42.0;0.618;8.0;50.0;2.042;13.0;93;100
188;RL;0.180017;18.57373470067978;42.818;1.689;9.091;14.979;0.656;3.59;4.0;0.594;1.0;50.0;2.624;13.0;94;100
